Series Name,Series Code,Country Name,Country Code,2017 [YR2017]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Trinidad and Tobago,TTO,-2.33601412405142
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tunisia,TUN,1.95512567537509
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turkey,TUR,7.41864397540321
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turkmenistan,TKM,6.50000004682975
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turks and Caicos Islands,TCA,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Tuvalu,TUV,3.24158911848238
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uganda,UGA,3.96477988833888
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ukraine,UKR,2.50046747207364
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Arab Emirates,ARE,0.790400387794406
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Kingdom,GBR,1.787150984874
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,2.27333854830167
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uruguay,URY,2.65668445585696
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uzbekistan,UZB,5.29999999887707
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Vanuatu,VUT,4.50068030474749
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Venezuela, RB",VEN,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Vietnam,VNM,6.8122456596398
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Virgin Islands (U.S.),VIR,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,West Bank and Gaza,PSE,3.14023678003269
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Yemen, Rep.",YEM,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Zambia,ZMB,4.07671549730144
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Zimbabwe,ZWE,3.44709514477464
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/18/2018,,,,
